600,5671197,primary,248,250,-73.9919574,40.7098057,-73.991777,40.7098319
622,5671220,secondary,85,251,-73.9693488,40.7853033,-73.9721756,40.7864873
628,5671276,primary,253,256,-73.9875746,40.7653667,-73.9889429,40.7634901
631,5671276,primary,256,258,-73.9889429,40.7634901,-73.9894017,40.7628617
642,5671282,primary,36,260,-73.9526176,40.8032558,-73.9553885,40.7994807
644,5671291,primary,54,262,-73.999853,40.721792,-74.004786,40.723625
646,5671315,primary,265,270,-73.98456,40.748439,-73.982957,40.747765
647,5671335,secondary,208,217,-73.9637494,40.7770004,-73.9717336,40.7820374
652,5671475,secondary,272,274,-73.958781,40.76399,-73.9611475,40.7649877
653,5671475,secondary,274,275,-73.9611475,40.7649877,-73.9633881,40.7659323
654,5671475,secondary,275,278,-73.9633881,40.7659323,-73.9649892,40.7666073
655,5671475,secondary,278,281,-73.9649892,40.7666073,-73.9664877,40.7672427
656,5671475,secondary,281,249,-73.9664877,40.7672427,-73.9667158,40.7673389
658,5671475,secondary,249,283,-73.9667158,40.7673389,-73.9682154,40.7679674
661,5671475,secondary,283,286,-73.9682154,40.7679674,-73.969825,40.768646
665,5671574,secondary,185,289,-73.973015,40.764279,-73.9714037,40.7635979
687,5671654,primary,245,47,-74.0020708,40.7607161,-73.9992636,40.7595167
688,5671656,secondary,292,225,-73.953672,40.787901,-73.9552767,40.7885847
699,5671688,secondary,295,296,-73.9609186,40.7808558,-73.9627815,40.7815298
710,5671717,primary,299,302,-74.0011123,40.7101928,-73.9997023,40.7117948
713,5671719,primary,190,303,-73.9709376,40.7451712,-73.9721195,40.7456771
733,5671774,primary,41,282,-73.9871818,40.7332927,-73.983148,40.7388264
734,5671810,secondary,304,307,-73.9950615,40.7693328,-73.9948535,40.7692528
759,5671920,primary,308,309,-73.9883839,40.7164594,-73.9874602,40.7182205
791,5671964,secondary,239,106,-73.9308625,40.8481397,-73.928266,40.8568009
796,5672019,secondary,311,312,-73.9584918,40.8006694,-73.9610568,40.8017903
799,5672050,primary,313,314,-73.9313326,40.8593027,-73.9307617,40.8593942
801,5672068,secondary,8,315,-73.9647071,40.7916741,-73.9675289,40.7928581
802,5672068,secondary,315,290,-73.9675289,40.7928581,-73.970364,40.7940493
812,5672176,secondary,316,318,-73.995285,40.7251507,-73.9898997,40.7344472
817,5672198,primary,325,326,-73.9906733,40.7284867,-73.991036,40.7281883
829,5672321,secondary,327,40,-73.997655,40.720836,-73.9973979,40.7214509
838,5672377,secondary,146,75,-74.0150062,40.7047334,-74.0101303,40.7120904
840,5672377,secondary,75,330,-74.0101303,40.7120904,-74.0096671,40.712736
841,5672389,secondary,9,331,-73.975483,40.7819523,-73.9783287,40.7831525
842,5672389,secondary,331,93,-73.9783287,40.7831525,-73.9799051,40.7838162
843,5672389,secondary,93,335,-73.9799051,40.7838162,-73.9800838,40.783893
844,5672399,secondary,198,339,-73.9820402,40.7705153,-73.9822655,40.7706087
846,5672399,secondary,339,341,-73.9822655,40.7706087,-73.9834027,40.7710881
847,5672434,primary,196,342,-73.9936067,40.7360129,-73.99684,40.737361
853,5672515,secondary,343,232,-73.9629223,40.7583127,-73.959722,40.758663
859,5672550,secondary,345,351,-74.0047522,40.7052372,-74.006021,40.706142
861,5672615,secondary,354,357,-73.9318397,40.8467983,-73.934693,40.847999
886,5672621,secondary,359,360,-73.9837884,40.7215498,-73.9780305,40.7294404
890,5672629,secondary,368,55,-73.9639047,40.7612328,-73.9661163,40.7621859
905,5672760,secondary,277,371,-73.970281,40.768025,-73.9686697,40.7673451
922,5672954,secondary,266,375,-73.975373,40.76104,-73.9737663,40.7603636
928,5672965,secondary,265,173,-73.98456,40.748439,-73.9895958,40.7415497
970,5672986,secondary,244,378,-73.9990087,40.7085585,-73.9992643,40.7087705
975,5673047,primary,223,379,-73.9910059,40.7237383,-73.99251,40.724192
